id;identifier;title
"";"1011";"EXPLOTACION EXTENSIVA GANADO BOVINO"
"";"1012";"EXPLOTAC. INTENSI.GANADO BOVINO DE LECHE"
"";"1013";"EXPLOT.INTENSIVA GANADO BOVINO DE CEBO"
"";"1021";"EXPLOTACION EXTENSIVA DE GANADO OVINO"
"";"1022";"EXPLOT.INTENSIV.GANADO OVINO DE CRIA"
"";"1023";"EXPLOT. INTENSIVA GANADO OVINO DE CEBO"
"";"1024";"EXPLOTACION DE GANADO CAPRINO"
"";"1031";"EXPLOTACION EXTENSIVA GANADO PORCINO"
"";"1032";"EXPLOTAC.INTENSIVA GANADO PORCINO CRIA"
"";"1033";"EXPLOTAC. INTENSIVA GANADO PORCINO CEBO"
"";"10411";"REPRODUCTORAS DE PUESTA"
"";"10412";"PONEDORAS HUEVOS A PARTIR CUATRO MESES"
"";"10421";"REPRODUCTORAS DE CARNE"
"";"10422";"POLLOS Y PATOS PARA CARNE"
"";"10423";"PAVOS, FAISANES Y PALMIPEDAS_REPRODUCTOR"
"";"10424";"PAVOS, FAISANES Y PALMIPEDAS PARA CARNE"
"";"10425";"CODORNICES PARA CARNE"
"";"1051";"CUNICULTURA"
"";"1061";"EXPLOT.GANADO CABALLAR,MULAR Y ASNAL"
"";"1062";"APICULTURA"
"";"1069";"OTRAS EXPLOTACIONES GANADERAS"
"";"1071";"EXPLOTACIONES MIXTAS"
"";"11111";"EXTRACCION Y PREPARACION DE HULLA"
"";"11112";"EXTRACC. Y PREP. HULLA SUBBITUMINOSA"
"";"11113";"PREPARAC. HULLA FACTORIA INDEPENDIENTE"
"";"11114";"AGLOMERACION DE HULLA"
"";"11121";"EXTRACC. Y PREPARACION DE ANTRACITA"
"";"11122";"PREPARACION ANTRACITA FACTORIA INDEPEND."
"";"11131";"EXTRACC. Y PREP. LIGNITO PARDO"
"";"11132";"PREP. LIGNITO PARDO EN FACTORIA INDEPEN."
"";"1114";"FABRICACION DE COQUE"
"";"11211";"TRABAJOS DE TESTIFICACION EN SONDEOS"
"";"11212";"DESVIACION SONDEOS Y CIMENTACION POZOS"
"";"11213";"TOMAS MEDIDA PRESION FONDO DE POZOS"
"";"11219";"OTRAS ACTIV. DE PROSPECCION"
"";"11221";"EXTRACCION DE CRUDOS DE PETROLEO"
"";"11222";"DISTRIBUCION DE CRUDOS DE PETROLEO"
"";"11231";"EXTRACCION Y DEPURACION DE GAS NATURAL"
"";"11232";"DISTRIBUCION DE GAS NATURAL"
"";"1124";"EXTRACCION DE PIZARRAS BITUMINOSAS"
"";"1130";"REFINO DE PETROLEO"
"";"1141";"EXTRAC.Y PREP. DE MINERALES RADIACTIVOS"
"";"1142";"PREP.MINERALES RADIACTIVOS FACT.INDEPEN."
"";"11431";"TRANSFORMACION DE MINERALES RADIOACTIVOS"
"";"11432";"TRATAMIENTO DE RESIDUOS RADIOACTIVOS"
"";"11433";"ALMACENAMIENTO DE RESIDUOS RADIOACTIVOS"
"";"11511";"PRODUCCION DE ENERGIA HIDROELECTRICA"
"";"11512";"PRODUCCION ENERGIA TERMOELECTRICA"
"";"11513";"PRODUCCION ENERGIA ELECTRONUCLEAR"
"";"11514";"OTRAS PRODUCCIONES DE ENERGIA"
